Age,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Gender_Encoded,BMI_Category,Age_Group,Heart_Rate_Reserve,Calorie_Burn_Rate,Workout_Intensity,Recovery_Index,Member_Engagement,Body_Composition_Score
46,47.9,1.72,171,147,57,1.41,933.0,26.3,2.0,3,1,16.19,0,0,1,114,657.0422535211268,0.8595988538681949,1.238861117148446,3,35.302299999999995
30,113.4,1.91,177,137,54,1.27,957.0,22.2,3.7,3,1,31.08,1,3,1,123,747.65625,0.7739675724535338,1.7994001999333555,3,88.2252
42,73.5,1.63,188,136,68,0.52,350.0,26.1,3.2,3,1,27.66,1,2,1,120,660.377358490566,0.7233657784160418,1.6186622232801715,3,54.3165
45,79.2,1.95,189,135,69,1.47,982.0,22.8,2.8,3,2,20.83,1,1,1,120,663.5135135135135,0.7142479233902969,1.5329926682959343,6,61.1424
33,45.9,1.5,189,144,62,0.92,662.0,29.8,1.7,3,1,20.4,0,1,1,127,711.8279569892472,0.7618644516163167,1.8782187215995154,3,32.221799999999995
59,96.7,1.71,183,150,62,0.57,423.0,28.4,2.9,3,1,33.07,1,3,2,121,729.3103448275863,0.8196273427681547,1.0506693780715133,3,69.2372
33,58.0,1.53,180,126,50,1.84,1159.0,18.3,2.7,5,3,24.78,0,1,1,130,626.4864864864865,0.6999611132714849,1.514692517418964,15,47.385999999999996
29,121.1,1.87,188,130,52,1.31,937.0,24.1,3.2,4,2,34.63,1,3,0,136,709.8484848484848,0.6914525823094516,1.7924853498793518,8,91.9149
34,110.5,1.86,188,139,62,1.42,1086.0,22.3,3.6,2,1,31.94,1,3,1,126,759.4405594405595,0.7393223764693367,1.822993237283152,2,85.8585
51,57.4,1.77,177,123,72,1.08,598.0,31.6,2.1,4,2,18.32,0,0,2,105,548.6238532110091,0.6948759957064573,1.4114879435404823,8,39.261599999999994
40,58.2,1.98,198,138,74,1.43,1085.0,24.0,2.5,3,2,14.85,1,0,1,124,753.4722222222223,0.6969344982576637,1.849537615596101,6,44.232
31,49.3,1.62,182,157,52,0.56,484.0,20.0,3.2,2,1,18.79,1,1,1,130,849.1228070175438,0.8625899675841987,1.6768784263140921,2,39.44
51,88.2,1.62,163,133,72,1.56,1027.0,11.8,3.5,4,3,33.61,1,3,2,91,654.140127388535,0.8159008649776088,1.4114879435404823,12,77.7924
18,62.0,1.59,190,162,50,1.23,996.0,33.2,2.2,4,2,24.52,0,1,0,140,803.2258064516129,0.8525867059628441,2.7762354247640197,8,41.416
50,73.6,1.55,183,145,74,0.89,581.0,33.9,2.1,3,1,30.63,0,3,2,109,645.5555555555555,0.7923064313425496,1.4797040591881625,3,48.6496
32,77.4,1.92,174,137,50,1.39,1047.0,26.7,3.3,3,2,21.0,1,1,1,124,747.8571428571429,0.7873110740762026,1.562011871290222,6,56.7342
59,88.1,1.76,187,168,74,1.35,1123.0,26.9,3.0,3,2,28.44,1,2,2,113,825.735294117647,0.8983476819421422,1.2540247415692256,6,64.4011
50,61.6,1.75,192,166,74,1.22,911.0,25.5,2.2,4,2,20.11,0,1,2,118,740.650406504065,0.8645383052965991,1.4797040591881625,8,45.892
58,65.2,1.63,167,121,53,1.12,610.0,25.4,2.0,3,2,24.54,0,1,2,114,539.8230088495575,0.7245075145200887,0.9136355800724013,6,48.6392
36,57.7,1.77,176,147,63,1.65,1213.0,19.4,2.7,4,3,18.42,0,0,1,113,730.722891566265,0.8351798193284473,1.749514023882255,12,46.50620000000001
59,78.0,1.92,180,127,53,0.72,453.0,28.1,2.7,3,1,21.16,1,1,2,127,620.5479452054794,0.705516360202211,0.8981528554482291,3,56.082
39,60.6,1.65,162,167,63,0.92,768.0,27.6,1.7,3,1,22.26,0,1,1,99,825.8064516129032,1.0308005678661811,1.61497052037939,3,43.8744
44,86.6,1.97,197,167,50,1.66,1372.0,11.7,3.5,5,3,22.31,1,1,1,147,821.556886227545,0.8476727069691894,1.1361054305839582,15,76.4678
23,108.6,1.92,197,134,50,0.89,656.0,25.8,3.5,2,1,29.46,1,2,0,147,728.8888888888889,0.6801685193644993,2.17296827466319,2,80.5812
33,68.2,1.75,177,150,71,0.85,638.0,29.0,1.7,2,1,22.27,0,1,1,106,741.8604651162791,0.8474097508615333,2.150863374734929,2,48.422
50,67.1,1.75,161,120,59,0.67,362.0,31.8,2.7,3,1,21.91,0,1,2,102,532.3529411764705,0.7452953232718466,1.179764047190562,3,45.76219999999999
