TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,WeightKg,BMI,Fat,TotalActiveMinutes,ActivityRatio,VeryActiveRatio,SedentaryPercentage,ActivitySleepRatio,StepsPerActiveMinute,CaloriesPerStep
13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,1.0,327.0,346.0,62.5,24.3899993896484,23.5,366,0.33424657534246577,0.0681198910081744,0.5055555555555555,1.1158536585365855,35.86376021798365,0.15080148902225937
10735,6.96999979019165,6.96999979019165,0.0,1.57000005245209,0.689999997615814,4.71000003814697,0.0,21,19,217,776,1797,2.0,384.0,407.0,62.5,24.3899993896484,23.5,257,0.24854932301740812,0.08139534883720931,0.5388888888888889,0.6675324675324675,41.60852713178294,0.16738077496274217
10460,6.73999977111816,6.73999977111816,0.0,2.44000005722046,0.400000005960464,3.91000008583069,0.0,30,11,181,1218,1776,1.0,433.0,463.0,62.5,24.3899993896484,23.5,222,0.15405968077723803,0.13452914798206278,0.8458333333333333,0.511520737327189,46.90582959641256,0.16977344422139376
9762,6.28000020980835,6.28000020980835,0.0,2.14000010490417,1.25999999046326,2.82999992370605,0.0,29,34,209,726,1745,1.0,412.0,442.0,62.5,24.3899993896484,23.5,272,0.2722722722722723,0.10622710622710622,0.5041666666666667,0.6585956416464891,35.75824175824176,0.17873604424869405
12669,8.15999984741211,8.15999984741211,0.0,2.71000003814697,0.409999996423721,5.03999996185303,0.0,36,10,221,773,1863,2.0,340.0,367.0,62.5,24.3899993896484,23.5,267,0.2564841498559078,0.13432835820895522,0.5368055555555555,0.782991202346041,47.27238805970149,0.14704025256511444
9705,6.48000001907349,6.48000001907349,0.0,3.19000005722046,0.779999971389771,2.50999999046326,0.0,38,20,164,539,1728,1.0,700.0,712.0,62.5,24.3899993896484,23.5,222,0.29133858267716534,0.17040358744394618,0.37430555555555556,0.3166904422253923,43.52017937219731,0.17803420564599218
13019,8.59000015258789,8.59000015258789,0.0,3.25,0.639999985694885,4.71000003814697,0.0,42,16,233,1149,1921,1.0,433.0,463.0,62.5,24.3899993896484,23.5,291,0.20194309507286606,0.14383561643835616,0.7979166666666667,0.6705069124423964,44.58561643835616,0.14754224270353303
15506,9.88000011444092,9.88000011444092,0.0,3.52999997138977,1.32000005245209,5.03000020980835,0.0,50,31,264,775,2035,1.0,304.0,320.0,62.5,24.3899993896484,23.5,345,0.30776092774308655,0.14450867052023122,0.5381944444444444,1.1311475409836065,44.8150289017341,0.1312310569420262
10544,6.67999982833862,6.67999982833862,0.0,1.96000003814697,0.479999989271164,4.23999977111816,0.0,28,12,205,818,1786,1.0,360.0,377.0,62.5,24.3899993896484,23.5,245,0.23026315789473684,0.11382113821138211,0.5680555555555555,0.6786703601108033,42.86178861788618,0.16936936936936936
9819,6.34000015258789,6.34000015258789,0.0,1.3400000333786,0.349999994039536,4.65000009536743,0.0,19,8,211,838,1775,1.0,325.0,364.0,62.5,24.3899993896484,23.5,238,0.22098421541318478,0.0794979079497908,0.5819444444444445,0.7300613496932515,41.0836820083682,0.18075356415478616
12764,8.13000011444092,8.13000011444092,0.0,4.76000022888184,1.12000000476837,2.24000000953674,0.0,66,27,130,1217,1827,1.0,433.0,463.0,62.5,24.3899993896484,23.5,223,0.15475364330326163,0.29464285714285715,0.8451388888888889,0.5138248847926268,56.982142857142854,0.14312573443008225
